sample_name,micro_sat,size_1,size_2,height_1,height_2,binned_size_1,binned_size_2
9525,A105,,,,,,
9525,Ai5013,220.34,252.96,2195.0,1931.0,220.333,253.944
9525,Ai5043,175.71,175.71,7536.0,,179.0,179.0
9525,Cvanu24,200.0,200.0,4915.0,,200.2,200.2
9525,Cvanu7,332.59,352.53,651.0,392.0,334.182,355.818
9525,D106,291.18,299.29,2680.0,2379.0,292.914,301.871
9525,D107,127.86,127.86,1256.0,,129.22,129.22
9525,D111,,,,,,
9525,MS1,216.87,216.87,8767.0,,220.143,220.143
9525,MS6,157.97,174.11,3089.0,2679.0,161.0,176.0
9525,MS7,235.75,235.75,853.0,,238.952,238.952
9525,MS8,109.07,113.27,1919.0,1717.0,111.75,114.5
95261,A105,,,,,,
95261,Ai5013,220.42,253.09,4216.0,3469.0,220.333,253.944
95261,Ai5043,175.84,175.84,10957.0,,179.0,179.0
95261,Cvanu24,200.0,200.0,5789.0,,200.2,200.2
95261,D106,291.12,299.2,2947.0,3348.0,292.914,301.871
95261,D107,127.82,127.82,2117.0,,129.22,129.22
95261,D111,,,,,,
95261,MS1,216.78,216.78,11264.0,,220.143,220.143
95261,MS6,174.15,174.15,4377.0,,176.0,176.0
95261,MS7,,,,,,
95261,MS8,109.17,109.17,3661.0,,111.75,111.75
9721,A105,211.49,255.89,38.0,61.0,211.75,256.0
9721,Ai5013,213.42,220.26,8576.0,8481.0,214.222,220.333
9721,Ai5043,175.74,175.74,1321.0,,179.0,179.0
9721,Cvanu24,199.91,199.91,12718.0,,200.2,200.2
9721,Cvanu7,331.59,351.58,1001.0,378.0,334.182,352.727
9721,D106,294.81,298.82,1777.0,1579.0,295.9,301.871
9721,D107,127.67,127.67,269.0,,129.22,129.22
9721,D111,150.2,150.2,1922.0,,153.053,153.053
9721,MS1,216.76,216.76,2152.0,,220.143,220.143
9721,MS6,174.15,174.15,18173.0,,176.0,176.0
9721,MS7,266.73,266.73,16542.0,,268.476,268.476
9721,MS8,109.13,109.13,26050.0,,111.75,111.75
9722,A105,255.93,255.93,85.0,,256.0,256.0
9722,Ai5013,213.38,227.49,12432.0,12106.0,214.222,229.5
9722,Ai5043,175.77,175.77,4941.0,,179.0,179.0
9722,Cvanu24,199.91,199.91,23731.0,,200.2,200.2
9722,Cvanu7,331.52,344.16,1646.0,579.0,334.182,346.545
9722,D106,290.77,298.9,6001.0,5999.0,292.914,301.871
9722,D107,127.64,170.38,617.0,260.0,129.22,171.458
9722,D111,150.2,150.2,4884.0,,153.053,153.053
9722,MS1,216.78,216.78,27534.0,,220.143,220.143
9722,MS6,157.95,174.08,8170.0,7554.0,161.0,176.0
9722,MS7,259.02,266.73,9379.0,7535.0,259.619,268.476
9722,MS8,109.11,113.28,14885.0,12653.0,111.75,114.5
115841,A105,222.16,255.64,54.0,137.0,223.55,256.0
115841,Ai5013,220.19,252.84,19392.0,15928.0,220.333,253.944
115841,Ai5043,175.73,175.73,4686.0,,179.0,179.0
115841,Cvanu24,199.74,199.74,27411.0,,200.2,200.2
115841,Cvanu7,332.4,332.4,12074.0,,334.182,334.182
115841,D106,294.8,298.87,14428.0,12759.0,295.9,301.871
115841,D107,127.59,178.55,1375.0,544.0,129.22,180.508
115841,D111,149.9,149.9,8601.0,,153.053,153.053
115841,MS1,216.63,216.63,32710.0,,220.143,220.143
115841,MS6,157.8,173.9,19115.0,18582.0,161.0,176.0
115841,MS7,259.01,266.79,14794.0,12274.0,259.619,268.476
115841,MS8,108.88,113.06,18424.0,15043.0,111.75,114.5
12512,A105,218.27,255.83,76.0,135.0,220.6,256.0
12512,Ai5013,220.23,220.23,25395.0,,220.333,220.333
12512,Ai5043,175.5,175.5,7254.0,,179.0,179.0
12512,Cvanu24,199.81,199.81,28068.0,,200.2,200.2
12512,Cvanu7,351.5,361.6,2461.0,1130.0,352.727,362.0
12512,D106,294.81,294.81,14499.0,,295.9,295.9
12512,D107,169.38,170.41,367.0,1084.0,171.458,171.458
12512,D111,157.77,207.9,523.0,121.0,159.158,208.0
12512,MS1,216.69,216.69,30994.0,,220.143,220.143
12512,MS6,174.02,174.02,32630.0,,176.0,176.0
12512,MS7,266.78,266.78,17965.0,,268.476,268.476
12512,MS8,109.11,109.11,22305.0,,111.75,111.75
125131,A105,220.5,255.79,77.0,96.0,223.55,256.0
125131,Ai5013,220.18,220.18,22202.0,,220.333,220.333
125131,Ai5043,175.66,175.66,2561.0,,179.0,179.0
125131,Cvanu24,199.81,199.81,22640.0,,200.2,200.2
125131,Cvanu7,334.28,351.5,148.0,1729.0,334.182,352.727
125131,D106,294.8,294.8,8588.0,,295.9,295.9
125131,D107,170.3,170.3,597.0,,171.458,171.458
125131,D111,150.2,150.2,5466.0,,153.053,153.053
125131,MS1,216.71,216.71,1790.0,,220.143,220.143
125131,MS6,173.98,173.98,20465.0,,176.0,176.0
125131,MS7,266.8,266.8,14604.0,,268.476,268.476
125131,MS8,109.1,109.1,1431.0,,111.75,111.75
137461,A105,220.18,255.71,45.0,41.0,220.6,256.0
137461,Ai5013,220.15,256.78,5591.0,4059.0,220.333,257.0
137461,Ai5043,175.63,178.45,455.0,424.0,179.0,179.0
137461,Cvanu24,199.73,199.73,9396.0,,200.2,200.2
137461,Cvanu7,332.54,352.43,1008.0,279.0,334.182,352.727
137461,D106,290.82,290.82,4071.0,,292.914,292.914
137461,D107,170.4,174.6,32.0,51.0,171.458,177.492
137461,D111,150.0,150.0,938.0,,153.053,153.053
137461,MS1,216.69,216.69,10408.0,,220.143,220.143
137461,MS6,174.03,174.03,6265.0,,176.0,176.0
137461,MS7,266.78,266.78,7931.0,,268.476,268.476
137461,MS8,108.9,117.3,7288.0,5381.0,111.75,117.25
137471,A105,219.46,255.69,41.0,89.0,220.6,256.0
137471,Ai5013,213.36,220.2,15072.0,14864.0,214.222,220.333
137471,Ai5043,175.7,178.42,556.0,483.0,179.0,179.0
137471,Cvanu24,199.74,199.74,24332.0,,200.2,200.2
137471,Cvanu7,332.46,352.34,4987.0,1624.0,334.182,352.727
137471,D106,290.78,298.87,10792.0,10038.0,292.914,301.871
137471,D107,170.48,174.65,316.0,202.0,171.458,177.492
137471,D111,150.0,150.0,2248.0,,153.053,153.053
137471,MS1,216.75,216.75,19824.0,,220.143,220.143
137471,MS6,174.05,174.05,17867.0,,176.0,176.0
137471,MS7,266.78,266.78,21677.0,,268.476,268.476
137471,MS8,108.8,108.8,32085.0,,111.75,111.75
16996,A105,255.89,255.89,202.0,,256.0,256.0
16996,Ai5013,220.27,252.89,9825.0,8304.0,220.333,253.944
16996,Ai5043,176.06,176.06,3107.0,,179.0,179.0
16996,Cvanu24,199.91,199.91,21353.0,,200.2,200.2
16996,Cvanu7,331.58,344.24,1712.0,463.0,334.182,346.545
16996,D106,294.93,294.93,9825.0,,295.9,295.9
16996,D107,127.69,127.69,581.0,,129.22,129.22
16996,D111,150.0,150.0,3612.0,,153.053,153.053
16996,MS1,216.85,216.85,15027.0,,220.143,220.143
16996,MS6,157.99,174.13,9851.0,9816.0,161.0,176.0
16996,MS7,266.82,290.1,7111.0,6191.0,268.476,292.095
16996,MS8,109.17,113.35,11474.0,9113.0,111.75,114.5
16997,A105,201.18,255.95,37.0,38.0,202.9,256.0
16997,Ai5013,220.3,252.84,3752.0,3530.0,220.333,253.944
16997,Ai5043,175.99,175.99,2168.0,,179.0,179.0
16997,Cvanu24,199.91,199.91,5159.0,,200.2,200.2
16997,Cvanu7,331.62,331.62,1190.0,,334.182,334.182
16997,D106,295.01,299.02,1750.0,1525.0,295.9,301.871
16997,D107,127.68,178.57,96.0,50.0,129.22,180.508
16997,D111,150.0,150.0,889.0,,153.053,153.053
16997,MS1,216.62,216.62,11031.0,,220.143,220.143
16997,MS6,174.09,174.09,8803.0,,176.0,176.0
16997,MS7,266.82,290.08,3928.0,3937.0,268.476,292.095
16997,MS8,109.11,109.11,10964.0,,111.75,111.75
17033,A105,199.63,255.94,32.0,33.0,202.9,256.0
17033,Ai5013,227.55,256.95,3621.0,3047.0,229.5,257.0
17033,Ai5043,175.86,175.86,2264.0,,179.0,179.0
17033,Cvanu24,199.91,199.91,5466.0,,200.2,200.2
17033,Cvanu7,328.2,331.58,1052.0,1566.0,331.091,334.182
17033,D106,299.02,299.02,2365.0,,301.871,301.871
17033,D107,127.68,174.51,167.0,43.0,129.22,177.492
17033,D111,150.0,150.0,679.0,,153.053,153.053
17033,MS1,216.85,216.85,8014.0,,220.143,220.143
17033,MS6,174.15,174.15,8868.0,,176.0,176.0
17033,MS7,266.85,290.03,4347.0,3718.0,268.476,292.095
17033,MS8,114.29,117.42,3841.0,3361.0,114.5,117.25
17034,A105,198.55,253.6,38.0,52.0,199.95,256.0
17034,Ai5013,213.48,252.94,4801.0,4136.0,214.222,253.944
17034,Ai5043,175.82,175.82,1571.0,,179.0,179.0
17034,Cvanu24,199.91,199.91,11212.0,,200.2,200.2
17034,Cvanu7,344.17,351.47,343.0,569.0,346.545,352.727
17034,D106,294.98,294.98,1199.0,,295.9,295.9
17034,D107,127.66,174.37,129.0,51.0,129.22,174.475
17034,D111,150.1,150.1,876.0,,153.053,153.053
17034,MS1,216.88,216.88,5130.0,,220.143,220.143
17034,MS6,174.08,174.08,9212.0,,176.0,176.0
17034,MS7,266.78,290.09,4251.0,4006.0,268.476,292.095
17034,MS8,109.07,109.07,11845.0,,111.75,111.75
17049,A105,198.25,255.91,36.0,572.0,199.95,256.0
17049,Ai5013,201.63,227.4,13244.0,12687.0,205.056,229.5
17049,Ai5043,175.85,175.85,7553.0,,179.0,179.0
17049,Cvanu24,199.91,199.91,21366.0,,200.2,200.2
